City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
215,Cherskiy,RU,68.75,161.3,-25.22,86,95,2.86,overcast clouds
216,Nizwa,OM,22.9333,57.5333,53.73,62,0,2.01,clear sky
217,Kiama,AU,-34.6833,150.8667,64.0,49,0,3.0,clear sky
218,Payo,ID,-3.7508,103.6372,71.26,94,88,1.97,overcast clouds
219,Kundiawa,PG,-6.0167,144.9667,66.7,73,100,1.9,overcast clouds
220,East London,ZA,-33.0153,27.9116,73.02,73,100,10.65,overcast clouds
221,Loningen,DE,52.7333,7.7667,30.99,86,81,2.3,broken clouds
222,Bambous Virieux,MU,-20.3428,57.7575,80.01,94,75,8.05,broken clouds
223,Lompoc,US,34.6391,-120.4579,86.0,17,14,11.23,few clouds
224,Urusha,RU,54.05,122.9,-20.47,88,100,0.83,overcast clouds
225,Cayenne,GF,4.9333,-52.3333,78.8,94,75,8.05,light rain
226,Les Cayes,HT,18.2,-73.75,77.88,79,74,5.97,broken clouds
227,Parati,BR,-23.2178,-44.7131,75.96,84,69,2.24,moderate rain
228,Bondo,CD,3.8146,23.6866,72.28,48,95,1.52,overcast clouds
229,Bang Saphan,TH,11.2126,99.5117,67.89,89,3,3.02,clear sky
230,Laguna,US,38.421,-121.4238,64.99,67,1,8.05,haze
231,Pedro Leopoldo,BR,-19.6181,-44.0431,80.6,57,75,8.05,very heavy rain
232,Boa Vista,BR,2.8197,-60.6733,86.0,54,75,13.8,broken clouds
233,Bowen,AU,-20.0167,148.2333,73.4,88,65,4.74,broken clouds
234,Tual,ID,-5.6667,132.75,83.97,75,100,10.09,overcast clouds
235,Kondopoga,RU,62.2057,34.2614,-25.6,75,29,2.24,light snow
236,Kanth,IN,29.0667,78.6333,50.14,55,0,5.32,clear sky
237,Esperance,AU,-33.8667,121.9,57.2,67,90,5.75,overcast clouds
238,Deqing,CN,30.5448,119.9599,43.0,69,99,3.0,overcast clouds
239,Barinas,VE,8.6226,-70.2075,82.56,60,100,4.45,overcast clouds
240,Saint George,US,37.1041,-113.5841,64.0,18,1,0.67,clear sky
241,Tasiilaq,GL,65.6145,-37.6368,32.0,93,90,16.11,light snow
242,Fernley,US,39.608,-119.2518,57.0,38,54,4.0,broken clouds
243,Maragogi,BR,-9.0122,-35.2225,77.02,78,59,8.59,broken clouds
244,Krumovgrad,BG,41.4667,25.65,35.01,89,0,2.35,clear sky
245,Paonta Sahib,IN,30.45,77.6167,52.03,52,0,2.33,clear sky
246,Maputo,MZ,-25.9653,32.5892,82.0,78,20,10.36,few clouds
247,Vieste,IT,41.8825,16.175,41.0,87,75,5.75,broken clouds
248,Maniitsoq,GL,65.4167,-52.9,18.52,86,91,6.4,overcast clouds
249,Moose Factory,CA,51.2585,-80.6094,32.0,86,90,6.91,overcast clouds
250,Botou,CN,38.0667,116.5667,19.22,90,31,2.17,scattered clouds
251,Chipinge,ZW,-20.1883,32.6236,66.52,90,70,3.22,light rain
252,Blagoyevo,RU,63.3667,47.9167,-11.29,89,43,3.38,scattered clouds
253,Arraial Do Cabo,BR,-22.9661,-42.0278,80.6,78,0,18.41,clear sky
254,Leningradskiy,RU,69.3833,178.4167,-9.49,89,100,8.63,overcast clouds
255,Marsh Harbour,BS,26.5412,-77.0636,75.38,76,100,8.93,overcast clouds
256,Semporna,MY,4.4818,118.6112,75.2,100,20,4.07,light rain
257,Tuatapere,NZ,-46.1333,167.6833,66.0,53,14,3.13,few clouds
258,Taoudenni,ML,22.6783,-3.9836,57.0,28,100,10.47,overcast clouds
259,Puerto Escondido,MX,15.85,-97.0667,82.4,69,40,6.69,scattered clouds
260,Anadyr,RU,64.75,177.4833,-5.01,77,20,8.95,light snow
261,Bengkulu,ID,-3.8004,102.2655,75.63,81,83,4.21,broken clouds
262,Salamiyah,SY,35.0113,37.0532,48.43,82,0,6.58,clear sky
263,Samana,DO,19.2056,-69.3369,82.4,74,40,9.22,scattered clouds
264,Verkhnyaya Sinyachikha,RU,57.976,61.6673,9.19,95,100,2.17,overcast clouds
265,Inirida,CO,3.8653,-67.9239,79.84,89,93,3.09,light rain
266,Xining,CN,36.6167,101.7667,11.32,91,94,1.41,overcast clouds
267,Chilca,PE,-12.5211,-76.7372,72.0,78,75,8.05,light rain
