City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
221,Georgetown,MY,2021-01-11 21:39:47,5.4112,100.3354,78.8,73,20,3.44
222,Santa Marinella,IT,2021-01-11 21:39:58,42.0345,11.8536,37.99,87,0,4.61
223,Tahe,CN,2021-01-11 21:39:59,52.3333,124.7333,-10.77,89,99,2.24
224,Mahebourg,MU,2021-01-11 21:39:59,-20.4081,57.7,78.8,100,75,16.11
225,Price,US,2021-01-11 21:39:59,39.5994,-110.8107,28.4,50,1,4.61
226,Salalah,OM,2021-01-11 21:39:59,17.0151,54.0924,71.6,23,0,13.8
227,Lavrentiya,RU,2021-01-11 21:40:00,65.5833,-171.0,-11.6,83,100,10.31
228,Mackenzie,CA,2021-01-11 21:40:00,55.2999,-123.1698,37.4,81,75,13.8
229,Barrow,US,2021-01-11 21:36:46,71.2906,-156.7887,-0.4,78,90,21.85
230,Longyearbyen,SJ,2021-01-11 21:40:01,78.2186,15.6401,15.8,86,0,2.3
231,Akureyri,IS,2021-01-11 21:40:01,65.6835,-18.0878,12.2,85,0,3.44
232,Sargur,IN,2021-01-11 21:40:01,11.9833,76.4167,67.21,87,100,4.03
233,Coahuayana,MX,2021-01-11 21:40:02,18.7333,-103.6833,80.6,32,20,5.77
234,Grand Gaube,MU,2021-01-11 21:40:02,-20.0064,57.6608,79.0,90,97,8.01
235,Los Llanos De Aridane,ES,2021-01-11 21:40:02,28.6585,-17.9182,62.6,63,75,13.8
236,Pervomaysk,UA,2021-01-11 21:40:03,48.0443,30.8507,27.99,95,0,4.43
237,Pevek,RU,2021-01-11 21:40:03,69.7008,170.3133,-32.03,85,27,1.59
238,Tukrah,LY,2021-01-11 21:40:03,32.5341,20.5791,70.54,41,0,27.92
239,Dunedin,NZ,2021-01-11 21:40:03,-45.8742,170.5036,60.93,64,0,4.41
240,Zhigalovo,RU,2021-01-11 21:40:04,54.8097,105.1578,-4.74,88,100,3.65
241,Beringovskiy,RU,2021-01-11 21:40:04,63.05,179.3167,-21.93,82,45,14.2
242,Murchison,NZ,2021-01-11 21:40:05,-41.8,172.3333,71.51,49,40,1.14
243,Tolbazy,RU,2021-01-11 21:40:05,54.0241,55.8825,8.6,85,90,4.47
244,Gombong,ID,2021-01-11 21:40:05,-7.6072,109.5142,76.32,88,99,2.62
245,Weinan,CN,2021-01-11 21:38:55,34.5036,109.5089,33.01,58,0,2.24
246,Aviles,ES,2021-01-11 21:40:06,43.5547,-5.9248,42.01,81,75,2.3
247,Caucasia,CO,2021-01-11 21:40:06,7.9865,-75.1935,85.8,72,47,3.27
248,Begles,FR,2021-01-11 21:40:06,44.8084,-0.5481,35.01,86,75,5.75
249,Akdepe,TM,2021-01-11 21:40:07,42.0551,59.3788,32.0,80,0,9.22
250,Garowe,SO,2021-01-11 21:40:07,8.4054,48.4845,65.12,65,6,13.35
251,San Francisco,US,2021-01-11 21:40:02,37.7749,-122.4194,59.0,76,40,5.75
252,Aligudarz,IR,2021-01-11 21:40:08,33.4006,49.6949,32.41,53,0,2.59
253,Pochinok,RU,2021-01-11 21:40:08,54.4068,32.4407,14.58,97,100,5.86
254,Lamu,KE,2021-01-11 21:40:08,-2.2717,40.902,78.8,78,75,5.75
255,Bakchar,RU,2021-01-11 21:40:09,57.0186,82.0711,-28.43,85,0,3.33
256,Hofn,IS,2021-01-11 21:40:09,64.2539,-15.2082,30.27,86,0,4.0
257,Kovur,IN,2021-01-11 21:40:09,14.4833,79.9833,71.04,91,100,2.66
258,Kuytun,RU,2021-01-11 21:40:10,54.3419,101.5036,-5.26,89,100,9.82
259,Miyako,JP,2021-01-11 21:40:10,39.6367,141.9525,28.94,93,100,6.6
260,Rockland,US,2021-01-11 21:40:04,41.1668,-74.0496,34.0,76,100,3.04
261,Vila Franca Do Campo,PT,2021-01-11 21:40:10,37.7167,-25.4333,59.0,100,90,6.91
262,Grootfontein,NA,2021-01-11 21:40:11,-19.5667,18.1167,66.2,94,100,4.61
263,Rach Gia,VN,2021-01-11 21:40:11,10.0167,105.0833,71.6,88,20,4.61
264,Bandarbeyla,SO,2021-01-11 21:40:11,9.4942,50.8122,71.83,72,16,22.88
265,Amposta,ES,2021-01-11 21:40:12,40.7131,0.581,39.99,61,0,14.0
266,Leon,MX,2021-01-11 21:36:46,21.1167,-101.6667,71.6,23,40,8.05
267,Tecoanapa,MX,2021-01-11 21:40:12,16.5167,-98.75,82.47,64,3,8.75
268,Amatan,MX,2021-01-11 21:40:13,17.35,-92.75,71.19,79,72,3.94
269,Nabire,ID,2021-01-11 21:40:13,-3.3667,135.4833,77.81,85,100,3.15
270,Lasa,IT,2021-01-11 21:40:13,46.6166,10.7002,17.6,49,0,9.22
271,Miri,MY,2021-01-11 21:40:14,4.4148,114.0089,75.2,100,40,4.61
272,Mandalgovi,MN,2021-01-11 21:40:14,45.7625,106.2708,10.18,86,86,17.27
273,Deputatskiy,RU,2021-01-11 21:40:14,69.3,139.9,-39.64,79,0,1.1
274,Malanje,AO,2021-01-11 21:40:14,-9.5402,16.341,59.92,92,68,4.32
275,Sharan,RU,2021-01-11 21:40:15,54.8167,54.0,-3.69,92,94,2.86
276,Namatanai,PG,2021-01-11 21:40:15,-3.6667,152.4333,82.92,73,100,5.48
277,Pitimbu,BR,2021-01-11 21:40:15,-7.4706,-34.8086,80.6,78,20,6.91
278,Sabaudia,IT,2021-01-11 21:40:15,41.3003,13.0282,46.0,85,97,7.11
279,Bathsheba,BB,2021-01-11 21:40:16,13.2167,-59.5167,78.8,73,40,18.41
280,Pundaguitan,PH,2021-01-11 21:40:16,6.3711,126.1689,80.55,82,100,12.86
281,Paamiut,GL,2021-01-11 21:40:16,61.994,-49.6678,27.64,98,100,15.99
282,Nizhnevartovsk,RU,2021-01-11 21:40:17,60.9344,76.5531,-32.8,68,0,4.47
283,Along,IN,2021-01-11 21:40:17,28.1667,94.7667,56.73,76,84,0.67
284,Beloha,MG,2021-01-11 21:40:17,-25.1667,45.05,74.7,82,0,11.79
285,Keti Bandar,PK,2021-01-11 21:40:17,24.1447,67.4497,60.73,29,0,7.99
286,Alice Springs,AU,2021-01-11 21:40:18,-23.7,133.8833,77.0,56,0,1.14
287,Russell,US,2021-01-11 21:40:18,32.3502,-85.1999,46.4,87,90,5.75
288,Dambulla,LK,2021-01-11 21:40:18,7.86,80.6517,71.8,99,100,1.45
289,Port-Cartier,CA,2021-01-11 21:40:19,50.0334,-66.8654,21.99,63,7,5.75
290,Fort Carson,US,2021-01-11 21:40:19,38.7375,-104.7889,39.99,38,1,3.44
